OBJECTID,OA01CD,OA01CDOLD,Shape__Area,Shape__Length,GlobalID
95983,W00008187,00PPPQ0003,128095.529613495,3156.36067724945,a09b078e-9533-4d9b-bd3c-1cae9ebf1872
161828,E00163715,46UFHB0009,102737.073394775,1802.43276140292,b241a9bc-7c28-4314-acb3-c86d18933953
173481,E00163650,46UFGY0002,135215.459541321,1737.07042306441,0e8e4fe2-e4af-400e-a3f9-4a3c2aae51e7
173398,E00163567,46UFGP0018,103978.485687256,2526.06703314818,7adac6b7-f4be-4858-a5a9-322ae2cbcd17
96315,W00008519,00PRNE0009,7375916.15446854,16485.6197435277,a0c4a5f8-05c3-4552-9533-66719bb47e86
74245,E00073873,00HBPH0022,72458.0986061096,1455.83105987784,8fe7d7c8-ac18-4550-9bf5-74af0d10934b
75671,E00075299,00HDPD0026,85308.8676643372,1747.51256732897,9bdd045f-18e1-4d4d-8d53-c95573424c6c
76003,E00075631,00HDPS0030,78643.1257247925,1796.97157166023,aa66b8c2-81f1-4721-9059-bf53e44bf154
72917,E00072917,00HAPP0011,57971.7644424438,1216.74852650573,eac650f0-48d5-4064-a6ae-541446dbbd79
76249,E00075877,00HDQD0005,72699.0766334534,1507.04878312552,3c6c2ad2-f0ff-4617-80dc-6de25479fe61
74838,E00074466,00HCNQ0009,9862252.64041138,20225.9286363015,469a294e-5e4c-487e-8b10-e6fcc68f67de
73902,E00073530,00HBNY0011,78625.4246635437,1257.39713862693,6549b48f-c541-4f27-98df-b35e1f3e2338
73890,E00073518,00HBNX0035,19858.5720748901,947.021777315043,50f9ed42-b88e-41ea-a959-a8a3c35a8d1f
75857,E00075485,00HDPL0021,959306.119586945,5805.37625193115,35d5001d-e905-4918-a6bd-559329f11b44
74234,E00073862,00HBPH0011,68397.8920555115,1445.7353844092,b4473829-7d51-4bf8-aaff-652b3be7c925
75525,E00075153,00HDNW0009,40107.243347168,1085.77760953232,4e5cb299-5908-47f8-9dc7-c7b1a85df93d
75562,E00075190,00HDNY0002,76368.9856910706,1894.44466817837,da39027e-cb23-45ed-a0fe-bd078ed92b12
172794,E00162963,46UCJF0011,58179.7570648193,1471.23947993641,de5f3f21-0d6b-45c0-8432-9751a3a94160
74984,E00074612,00HCPD0006,666942.148693085,4446.88506722638,2c93315d-3380-4eb4-b3e5-9424079b83fd
75230,E00074858,00HCPT0005,31338.5301055908,969.465577023142,ebb67c0b-0756-4dab-905a-02bd62f3a593
74629,E00074257,00HBPT0030,22307.9866676331,627.45338657081,5eabef51-045f-4705-b754-6509d2b06126
